GP G GENERATION;GPG;GP G SO SOLUTIONS;SPG052;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T CONS TRANSMISSION;SPGTCO;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS THERAPY GOODWILL;HSCAGO;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA I GOODWILL OIL&GAS;SEROGO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 807;CIT807;2022-10-19T09:10:22.841Z
DI DIGITAL INDUSTRIES;SDI;DI PA PROCESS AUTOMATION;SDI060;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T NP NON-SWITCHING PRODUCTS & SYSTEMS;SPG071;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS PASS THROUGH ITEMS (PTI);GBS990;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS CI CENTRAL ITEMS;HSC999;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS OPERATIONS - PROJECT SERVICES;GBS900;2022-10-19T09:10:22.841Z
ADVANTA;IOT;ADVANTA CONSULTING;IOT100;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;CDO TECHNICAL;CDOTEC;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS MANAGEMENT & SUPPORT FUNCTIONS;GBS100;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 806;CIT806;2022-10-19T09:10:22.841Z
POC PORTFOLIO COMPANIES OTHER;SPC;POC OTH. SONST. BETEILIGUNGEN;SPC090;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;ECI;SE CENTRAL COSTS;CIT005;2022-10-19T09:10:22.841Z
TCF, PDI, PCF;GPF;TCF, PDI, PCF DIV NO ASSIGNED BU;GPFZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 330;CIT330;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T TRANSMISSION DIV NO ASSIGNED BU;GPTZZZ;2022-10-19T09:10:22.841Z
CF FINANCING - TRE SCU;TRE;TRE ENERGY DO;TREEDO;2022-10-19T09:10:22.841Z
CF FINANCING - PENSIONS;PEN;PEN CALIFORNIA DO;PEN004;2022-10-19T09:10:22.841Z
GP G GENERATION;GPG;GP G CONS;SPGGCO;2022-10-19T09:10:22.841Z
SE CF, GP CI;GPC;SE COL CARVE OUT & LISTING PROJECT;SPG993;2022-10-19T09:10:22.841Z
CF FINANCING - TRE SCU;TRE;CF FINANCING - TRE SCU DIV NO ASSIGNED BU;TREZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESIDUAL PARTICIPATION ACTIVITIES;CIT602;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA G PR&SO PRODUCTS&SOLUTIONS;SER012;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;GIS/NATIONAL GRID;CIT732;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS PV POWER & VACUUM TECHNIC;HSC011;2022-10-19T09:10:22.841Z
EXTERNAL/NOCONS;EZZ;EXTERNAL/NOCONS DIV NO ASSIGNED BU;EZZZZZ;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA CI CENTRAL ITEMS;SER999;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA POWERHOUSE;SER993;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA DO;SEREDO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;HANAU (BRD);CIT090;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 093;CIT093;2022-10-19T09:10:22.841Z
SI SMART INFRASTRUCTURE;SSI;SI SMART INFRASTRUCTURE DIV NO ASSIGNED BU;SSIZZZ;2022-10-19T09:10:22.841Z
SI SMART INFRASTRUCTURE;SSI;SI CENTRAL ITEMS;SSI999;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;POSTAL, PARCEL & AIRPORT LOGISTICS;CIT063;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;2ND LIFE;CIT183;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;CORONA SPECIAL PAYMENT;CIT805;2022-10-19T09:10:22.841Z
DI DIGITAL INDUSTRIES;SDI;DI ENERGY DO;SDIEDO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 736;CIT736;2022-10-19T09:10:22.841Z
CF FINANCING - PENSIONS;PEN;PEN FLENDER DO;PENFDO;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS IMAGING GOODWILL;HSCIGO;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;CDO ENERGY DO;CDOEDO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;LEGAL & REGULATORY SPAIN;CIT735;2022-10-19T09:10:22.841Z
SIEMENS SRE ESTATE MANAGEMENT;SRE;SRE INTERNATIONAL;SRE002;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T SP SWITCHING PRODUCTS & SYSTEMS;SPG070;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 350;CIT350;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;CVC REMAINING;CIT066;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;PROJEKT KAPPA;CIT181;2022-10-19T09:10:22.841Z
SE CF, GP CI;GPC;GP SV CENTRAL;SPG99S;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 611;CIT611;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SETTLEMENT GRIECHENLAND;CIT207;2022-10-19T09:10:22.841Z
SMO MOBILITY;SMO;SMO RS ROLLING STOCK;SMO060;2022-10-19T09:10:22.841Z
TCF, PDI, PCF;GPF;TCF TREASURY & CORPORATE FINANCE;SPG081;2022-10-19T09:10:22.841Z
FINANCIAL SERVICES;SFS;SFS CENTRAL ITEMS / HEADQUARTER;SFS038;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS BUSINESS SOLUTIONS & SERVICES;GBS600;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;STRATEGY CENTRAL;CDO200;2022-10-19T09:10:22.841Z
SE CF, GP CI;GPC;SPGCI CONS;SPGCCO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;FB RESTRUCTURING COSTS;CIT753;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;ECI;CORPORATE ITEMS DIV NO ASSIGNED BU;ECIZZZ;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS THERAPY CONS;HSCACO;2022-10-19T09:10:22.841Z
DI DIGITAL INDUSTRIES;SDI;DI FA FACTORY AUTOMATION;SDI010;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;COUNTRY SUPPORT FUNCTIONS;CIT410;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;CIT ENERGY DO;CITEDO;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS OPERATIONS - DELIVERY MANAGEMENT;GBS700;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS ES ENTERPRISE SERVICES;HSC008;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;CORPORATE DEVELOPMENT OTHER DIV NO ASSIGNED BU;CDOZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;EXPRESS;CIT073;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA TECHNICAL;SERTEC;2022-10-19T09:10:22.841Z
SIEMENS SRE ESTATE MANAGEMENT;SRE;SRE TECHNICAL;SRETEC;2022-10-19T09:10:22.841Z
GP G GENERATION;GPG;GP G CI CENTRAL ITEMS;SPGG99;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SE REMAINING TOPICS;CIT082;2022-10-19T09:10:22.841Z
CF FINANCING - PENSIONS;PEN;PEN AUDIOLOGIE DO;PEN005;2022-10-19T09:10:22.841Z
TCF - PENSIONS;EPN;PEN TECHNICAL;EPNTEC;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA G CONS;SERGCO;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA G GOODWILL GENERATION;SERGGO;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS OTHERS;GBS999;2022-10-19T09:10:22.841Z
GP GAS AND POWER;SPG;GP GAS AND POWER DIV NO ASSIGNED BU;SPGZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SETTLEMENT BRASILIEN;CIT792;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;T INNOVATION FUND/MAC/SCIC;CDO012;2022-10-19T09:10:22.841Z
TCF, PDI, PCF;GPF;PCF PROJECT & CUSTOMER FINANCE;SPG083;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS TECHNICAL;GBSTEC;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 714;CIT714;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;BRAND FEE NOTCHARGED;CIT173;2022-10-19T09:10:22.841Z
SIEMENS ENERGY EQUITY INVESTMENT;SEE;SIEMENS ENERGY EQUITY INVESTMENT;SEE001;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;PROFIT SHARING PLAN;CIT713;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;OPTIONSANLEIHE OSRAM;CIT731;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA FS&T CONS TREASURY;SERFCO;2022-10-19T09:10:22.841Z
DUMMYBEREICH NOKONS;ZZZ;DUMMYBEREICH NOKONS DIV NO ASSIGNED BU;ZZZZZZ;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA CT CORPORATE TECHNOLOGY;SER992;2022-10-19T09:10:22.841Z
SE CF, GP CI;GPC;SE CF CORPORATE FUNCTIONS;SPG99Z;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;AKTIENOPTIONEN;CIT710;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T SV TRANSMISSION SERVICE;SPG078;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA I PR OIL&GAS PRODUCTS;SER021;2022-10-19T09:10:22.841Z
FINANCIAL SERVICES;SFS;SFS TECHNICAL;SFSTEC;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS CI GOODWILL;HSCCGO;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SIEMENS ENERGY ASSETS DIV NO ASSIGNED BU;SERZZZ;2022-10-19T09:10:22.841Z
SIEMENS ENERGY EQUITY INVESTMENT;SEE;SEE TECHNICAL;SEETEC;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SPEZIAL CFR 2 - B;CIT802;2022-10-19T09:10:22.841Z
POC SL;CMP;POC SL ENERGY DO;CMPEDO;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T GRID STABILIZATION;SPG074;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS PURCHASE-TO-PAY SERVICES;GBS400;2022-10-19T09:10:22.841Z
TCF - PENSIONS;EPN;PENSIONS;EPN001;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;ECI;RESERVE 008;CIT008;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;ZKD VERRECHNUNG;CIT210;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA FS&T PROJECT & EXPORT FINANCE;SER043;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;BENTLEY SDI PEN;CIT610;2022-10-19T09:10:22.841Z
OO OTHER OPERATIONS;GPO;OI OTHER ITEMS;SPG991;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA FS&T GOODWILL TREASURY;SERFGO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;WELTBANK;CIT798;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;T ATOS JOINT INVESTMENT AGREEMENT;CDO010;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;IT TRANSFORMATION;CDO301;2022-10-19T09:10:22.841Z
SE CF, GP CI;GPC;RE REAL ESTATE;SPG99A;2022-10-19T09:10:22.841Z
SE CF, GP CI;GPC;GP CI CENTRAL ITEMS;SPG999;2022-10-19T09:10:22.841Z
