POC PORTFOLIO COMPANIES OTHER;SPC;POC OTH TECHNICAL;SPCTEC;2022-10-19T09:10:22.841Z
ADVANTA;IOT;ADVANTA OTHERS;IOT999;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SONDERTHEMEN CORPORATE ITEMS;CIT199;2022-10-19T09:10:22.841Z
ADVANTA;IOT;ADVANTA MAGELLAN;IOT998;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SOLAR;CIT064;2022-10-19T09:10:22.841Z
OO OTHER OPERATIONS;GPO;NEW ENERGY BUSINESS;SPG996;2022-10-19T09:10:22.841Z
SE CF, GP CI;GPC;SE CF, GP CI DIV NO ASSIGNED BU;GPCZZZ;2022-10-19T09:10:22.841Z
SI SMART INFRASTRUCTURE;SSI;SI DG DIGITAL GRID;SSI035;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;ECI;SE SHARE MATCHING PLANS;CIT004;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS AT ADVANCED THERAPIES;HSC003;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS DX DIAGNOSTICS;HSC007;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SE BUSINESS;CIT340;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GLOBAL BUSINESS SERVICES DIV NO ASSIGNED BU;GBSZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;COMPLIANCE SACHVERHALTE;CIT734;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;BUSINESS EXCELLENCE;CDO320;2022-10-19T09:10:22.841Z
SIEMENS SRE ESTATE MANAGEMENT;SRE;SIEMENS SRE ESTATE MANAGEMENT DIV NO ASSIGNED BU;SREZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;BRAND FEE – TOTAL;CIT172;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;PORTFOLIO PLUG;CIT796;2022-10-19T09:10:22.841Z
GP G GENERATION;GPG;GP G LRE LARGE ROTATING EQUIPMENT;SPG051;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;BOOST;CIT081;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA I SUS SUBSEA SOLUTIONS;SER026;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;STEUERTHEMEN;CIT720;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA I SLN SOLUTIONS;SER024;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;CALIFORNIA;CIT180;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SPEZIAL CFR 2 - M;CIT804;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA CI CONS;SERCCO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;ECI;RESERVE 010;CIT010;2022-10-19T09:10:22.841Z
POC PORTFOLIO COMPANIES OTHER;SPC;POC OTH ENERGY DO;SPCEDO;2022-10-19T09:10:22.841Z
TCF - TRE SCU;ETR;CF F CENTRAL ITEMS / HEADQUARTER;ETR030;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;HOLDING ACTIVITIES;CIT601;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;MAP REMAINING TOPICS;CIT072;2022-10-19T09:10:22.841Z
POC PORTFOLIO COMPANIES OTHER;SPC;POC PORTFOLIO COMPANIES OTHER DIV NO ASSIGNED BU;SPCZZZ;2022-10-19T09:10:22.841Z
CF FINANCING - PENSIONS;PEN;PENSIONS;PEN001;2022-10-19T09:10:22.841Z
CF FINANCING - TRE SCU;TRE;TRE TECHNICAL;TRETEC;2022-10-19T09:10:22.841Z
DI DIGITAL INDUSTRIES;SDI;DI TECHNICAL;SDITEC;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;PCM PROJECTS;CIT084;2022-10-19T09:10:22.842Z
OO OTHER OPERATIONS;GPO;OO OTHER OPERATIONS DIV NO ASSIGNED BU;GPOZZZ;2022-10-19T09:10:22.842Z
SIEMENS AG REMAINING;EER;SER TECHNICAL;EERTEC;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;ECI;SE STAND ALONE;CIT002;2022-10-19T09:10:22.842Z
SIEMENS ENERGY ASSETS;SER;SEA I CI OIL&GAS CENTRAL ITEMS;SER99O;2022-10-19T09:10:22.842Z
CF FINANCING - PENSIONS;PEN;PEN WATER TECHNOLOGIES DO;PEN002;2022-10-19T09:10:22.842Z
SMO MOBILITY;SMO;SMO CI CENTRAL ITEMS;SMO999;2022-10-19T09:10:22.842Z
SHS HEALTHINEERS;HSC;SHS DI DIAGNOSTIC IMAGING;HSC001;2022-10-19T09:10:22.842Z
DI DIGITAL INDUSTRIES;SDI;DI MC MOTION CONTROL;SDI020;2022-10-19T09:10:22.842Z
GP G GENERATION;GPG;GP G SCD GENERATIONSERV.CONTROLS&DIGITAL;SPG05C;2022-10-19T09:10:22.842Z
SIEMENS ENERGY ASSETS;SER;SEA T SE TRANSMISSION SERVICE;SER038;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;MD STAND ALONE;CIT080;2022-10-19T09:10:22.842Z
GP T TRANSMISSION;GPT;GP T CI TRANSMISSION CENTRAL ITEMS;SPGT99;2022-10-19T09:10:22.842Z
SHS HEALTHINEERS;HSC;SHS TECHNICAL;HSCTEC;2022-10-19T09:10:22.842Z
POC SL;CMP;POC SL DIV NO ASSIGNED BU;CMPZZZ;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;SONSTIGE RG (EX OOP-PROJECT);CIT076;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;SONSTIGE PERSONALTHEMEN;CIT740;2022-10-19T09:10:22.842Z
SIEMENS SRE ESTATE MANAGEMENT;SRE;SRE ENERGY DO;SREEDO;2022-10-19T09:10:22.842Z
ADVANTA;IOT;ADVANTA HEADQUARTER;IOT001;2022-10-19T09:10:22.842Z
FINANCIAL SERVICES;SFS;SFS ENERGY DO;SFSEDO;2022-10-19T09:10:22.842Z
TCF - TRE SCU;ETR;TCF OTHERS;ETR999;2022-10-19T09:10:22.842Z
TCF - TRE SCU;ETR;TCF INSURANCE CELL;ETR036;2022-10-19T09:10:22.842Z
CF FINANCING - PENSIONS;PEN;PEN YUNEX HFD;PENYUN;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;SEC ISRAEL;CIT733;2022-10-19T09:10:22.842Z
SIEMENS ENERGY ASSETS;SER;SEA G CI GENERATION CENTRAL ITEMS;SER99G;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;ECI;SE BOARD OFFICE;CIT001;2022-10-19T09:10:22.842Z
GLOBAL BUSINESS SERVICES;GBS;GBS TEMPORARY PERSONNEL;GBS101;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;GOVERNANCE CENTRAL SAG;CIT310;2022-10-19T09:10:22.842Z
SHS HEALTHINEERS;HSC;SHS IMAGING CONS;HSCICO;2022-10-19T09:10:22.842Z
OO OTHER OPERATIONS;GPO;OO CONS SPGBO;SPGBCO;2022-10-19T09:10:22.842Z
CF FINANCING - PENSIONS;PEN;PEN METALS TECHNOLOGIES DO;PEN003;2022-10-19T09:10:22.842Z
CF FINANCING - TRE SCU;TRE;CF F OTHERS;TRE999;2022-10-19T09:10:22.842Z
SIEMENS SRE ESTATE MANAGEMENT;SRE;SRE FLENDER DO;SREFDO;2022-10-19T09:10:22.842Z
SHS HEALTHINEERS;HSC;SHS VARIAN;HSC012;2022-10-19T09:10:22.842Z
SI SMART INFRASTRUCTURE;SSI;SI RSS REGIONAL SERVICE AND SOLUTIONS;SSI030;2022-10-19T09:10:22.842Z
SIEMENS ENERGY ASSETS;SER;SEA ACC ACCELERATOR;SER996;2022-10-19T09:10:22.842Z
SIEMENS AG REMAINING;EER;SIEMENS AG REMAINING;SER001;2022-10-19T09:10:22.842Z
SMO MOBILITY;SMO;SMO RI RAIL INFRASTRUCTURE;SMO010;2022-10-19T09:10:22.842Z
DI DIGITAL INDUSTRIES;SDI;DI SW SOFTWARE;SDI030;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;FURTHER PROJECTS;CIT078;2022-10-19T09:10:22.842Z
FINANCIAL SERVICES;SFS;SFS COF COMMERCIAL FINANCE;SFS050;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;CIT FLENDER DO;CITFDO;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;ECI;RESERVE 007;CIT007;2022-10-19T09:10:22.842Z
SIEMENS SRE ESTATE MANAGEMENT;SRE;SRE GERMANY;SRE001;2022-10-19T09:10:22.842Z
DI DIGITAL INDUSTRIES;SDI;DI DIGITAL INDUSTRIES DIV NO ASSIGNED BU;SDIZZZ;2022-10-19T09:10:22.842Z
OO OTHER OPERATIONS;GPO;SE VENTURES;SPG99U;2022-10-19T09:10:22.842Z
SIEMENS ENERGY ASSETS;SER;SEA OI OTHER ITEMS;SER991;2022-10-19T09:10:22.842Z
SMO MOBILITY;SMO;SMO TK TURNKEY;SMO020;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;SONSTIGE THEMEN 7020;CIT799;2022-10-19T09:10:22.842Z
CORPORATE DEVELOPMENT OTHER;CDO;INTERNET OF THINGS;CDO330;2022-10-19T09:10:22.842Z
FINANCIAL SERVICES;SFS;SFS OTHERS;SFS999;2022-10-19T09:10:22.842Z
ADVANTA;IOT;ADV ENERGY DO;IOTEDO;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;AIS BRASIL;CIT794;2022-10-19T09:10:22.842Z
POC PORTFOLIO COMPANIES OTHER;SPC;POC OTH LDA INDUSTRIAL APPLICATIONS;SPC050;2022-10-19T09:10:22.842Z
GLOBAL BUSINESS SERVICES;GBS;GBS HIRE-TO-RETIRE SERVICES;GBS500;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;ECI;SE DIV. CENTRAL TOPICS;CIT006;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;SHARE MATCHING PLAN;CIT711;2022-10-19T09:10:22.842Z
OO OTHER OPERATIONS;GPO;OO CI OTHER OPERATIONS CENTRAL ITEMS;SPGB99;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;LEGAL & REGULATORY HUNGARY;CIT793;2022-10-19T09:10:22.842Z
FINANCIAL SERVICES;SFS;SFS PS DEBT AMERICAS;SFS053;2022-10-19T09:10:22.842Z
CF FINANCING - PENSIONS;PEN;PEN ENERGY DO;PENEDO;2022-10-19T09:10:22.842Z
SHS HEALTHINEERS;HSC;SHS VARIAN CONS;HSCVCO;2022-10-19T09:10:22.842Z
SI SMART INFRASTRUCTURE;SSI;SI ENERGY DO;SSIEDO;2022-10-19T09:10:22.842Z
CORPORATE ITEMS;CIE;DIVIDENDEN/FINANZANLAGEN (NO KONS);CIT100;2022-10-19T09:10:22.842Z
SIEMENS SRE ESTATE MANAGEMENT;SRE;SRE INDUSTRIAL PARKS;SRE005;2022-10-19T09:10:22.842Z
